question,A,B,C,D,correct_answer
Severe deficiency of Vitamin D results in __________.,A. scurvy,B. rickets,C. night blindness,D. None of these,B
Which is the outermost planet in the solar system?,A. Mercury,B. Pluto,C. Neptune,D. Uranus,C
Who discovered Uranus__________?,A. William Caxton,B. John Davise,C. Herschel,D. Shellay,C
Which of following is the disease of eyes.?,A. Trachoma,B. Glaucoma,C. Cataract,D. All of these,D
How many layers does sun have ?,A. 6,B. 4,C. 7,D. 3,A
"What would happen to the escape velocity if the mass of the Earth were doubled, keeping the radius the same?",A. It would remain the same,B. It would increase by a factor of 2sqrt{2}2​,C. It would double,D. It would decrease by a factor of 2sqrt{2}2,D
"For an object to escape from the surface of a celestial body, the kinetic energy of the object must be: __________?",A. Less than the gravitational potential energy of the body,B. Equal to the gravitational potential energy of the body,C. Greater than the gravitational potential energy of the body,D. None of the above,C
Which of the following statements is true about escape velocity?,A. Escape velocity is independent of the mass of the planet,B. Escape velocity is independent of the mass of the escaping object,C. Escape velocity decreases with an increase in the radius of the planet,D. Escape velocity depends on the shape of the planet,B
"On the Moon, the escape velocity is: __________?",A. Less than on Earth due to its lower mass and smaller radius,B. More than on Earth due to its smaller radius,C. The same as on Earth because escape velocity is a constant,D. Dependent on the time of day,A
"If a rocket is launched with a velocity less than the escape velocity of Earth, it will:",A. Escape the Earth’s gravitational field,B. Enter into an elliptical orbit around the Earth,C. Fall back to Earth,D. Travel to another planet,C
Escape velocity depends on ________?,A. Mass of the object trying to escape,B. Radius of the planet or celestial body,C. Both mass and radius of the planet or celestial body,D. The velocity of the rotating planet,C
What is the escape velocity on Earth?,A. 7.9 km/s,B. 9.8 km/s,C. 11.2 km/s,D. 12.4 km/s,C
Pen and a home which will need more velocity to escape from the earth?,A. pen needs less velocity,B. home needs more velocity,C. both need the same velocity,D. none,C
‘Magnetometer’ is used to measure: ______________?,A. Air Pressure on Ships,B. Electromagnetic Force in Space Devices,C. Changes in the Earth’s Magnetic Field,D. Changes in Oceanic Current,C
‘Cyborg’ term mostly used in Science-fiction movies describes:,A. A human being whose physiological functions are aided by artificial means,B. A Bionic Human,C. An individual with artificial parts,D. All of Above,D
Alzheimer’s disease is a _________ disorder.,A. Genetic,B. Brain,C. Eye,D. Body Weight Loss,B
‘Alba’ was a genetically modified ‘glowing’ ___ created as an artistic work by contemporary artist Eduardo Kac.,A. Sheep,B. Dog,C. Rabbit,D. Mouse,C
Locked-in syndrome (LiS) is which type of disorder?,A. Developmental,B. Neurological,C. Hormonic,D. Genetic,B
Which One of the Following Is Not a Greenhouse Gas?,A. Methane,B. Hydrogen,C. Nitrous oxide,D. Ozone,B
which type of rock is made from molten(Fire) material within the earth surface?,A. Sedimentary rock,B. Schist rock,C. Igneous rock,D. Metamorphic rock,C
Which animal has three hearts?,A. Crow,B. Dolphin,C. Octopus,D. None of these,C
Amino acids are a product of the digestion of: ___________?,A. Carbohydrates,B. Fats,C. Proteins,D. Vitamins,C
Identify the monoatomic molecule among the following?,A. Helium,B. Ozone,C. Hydrogen,D. Nitrogen,A
The maximum number of electrons can be filled in the first shell of an atom are _____.,A. 2 electrons,B. 8 electrons,C. 18 electrons,D. 4 electrons,A
"As one moves away from the surface of earth with higher altitude ,the atmospheric pressure will go on ________.",A. Increasing,B. Decreasing,C. Remains same,D. First decreases then increases,B
The sun completes one full rotation at its equator in how many days?,A. 365 days,B. 30 days,C. 25 days,D. 23 days,C
The moon rotates on its axis in how many days?,A. 14.8 days,B. 17.5 days,C. 29.7 days,D. 27.3 days,D
Which one of the following of glass can cut ultraviolet rays?,A. Jena Glass,B. Soda Glass,C. Pyrex Glass,D. Crookes Glass,D
Burning of Fossil Fuels Results In ____________?,A. Increased oxygen level,B. Decreases greenhouse gases,C. Increased greenhouse gases,D. Increased ethane level,C
What pigment is responsible for the red color inside a watermelon?,A. Chlorophyll,B. Beta-carotene,C. Lycopene,D. Anthocyanin,C
How many countries are signatories of NASA’s Artemis Accords as of May 2024?,A. 29,B. 30,C. 40,D. None of These,C
The moon’s surface is constantly bombarded by?,A. Comets,B. UV light,C. Meteoroids,D. All of the above,C
The moon’s surface is also covered with a layer of fine dust called?,A. Gegolith,B. Megolith,C. Regolith,D. None of the above,C
Which planets rotate in the opposite direction of the other planets?,A. Saturn and Jupiter,B. Jupiter and Neptune,"C. Saturn, Jupiter and Mercury",D. Venus and Uranus,D
Terrestrial planets in solar system are made of____________?,A. Metal,B. Rock,C. Both A and B,D. None of the above,C
Which planets in solar system are called gas giants?,"A. Outer planets (Jupiter, Saturn and Uranus)","B. Outer planets (Jupiter, Neptune and Uranus)",C. Outer planets (Jupiter and Saturn),D. Inner planets (Mercury and Earth),C
Which four planets are also called the terrestrial planets?,"A. Inner planets (Mercury, Venus, Earth, and Mars)","B. Outer planets (Jupiter, Saturn, Uranus, and Neptune)","C. Inner planets (Mercury, Venus) and outer planets (Uranus, Neptune)","D. Inner planets (Earth, Mars) and outer planets (Jupiter, Saturn)",A
The sun has a __________ year solar cycle during which its activity increases and decreases.,A. 10,B. 11,C. 12,D. 13,B
The sun’s atmosphere is divided into following three parts:-,"A. the photosphere, the leutosphere , and the corona","B. the photosphere, the chromosphere, and the scislophere","C. the photosphere, the chromosphere, and the corona",D. None of the above,C
The sun’s surface is called ___________?,A. Cromosphere,B. Leutosphere,C. Thermosphere,D. Photosphere,D
___________ is a star at the center of the solar system?,A. Earth,B. Mercury,C. Sun,D. Venus,C
Stomach stores the ___________?,A. enzime,B. Food,C. hcl,D. None of These,B
Year is longest on : _____________?,A. Mercury,B. Venus,C. Mars,D. The Earth,B
The outermost layer of the sun is called __________?,A. Coach,B. Core,C. Corona,D. Comma,C
The sun is _________times bigger than the Earth.,A. 105,B. 107,C. 109,D. 111,C
Comets revolves around?,A. The sun,B. The Moon,C. The Earth,D. Venus,A
The outermost layer of the Earth is called ____________?,A. Crust,B. Mental,C. Core,D. None of these,A
The first organism on earth were _______________?,A. autotrophs,B. heterotrophs,C. saprotrophs,D. none of these,B
The Planet of the solar system which has Maximum number of moons is___________?,A. Jupiter,B. Venus,C. Saturn,D. Uranus,C
BTU is a unit of________?,A. Force,B. Magnetic flux,C. Energy,D. None of these,C
Who is the father of fingerprints?,A. Sir Francis Galton’s,B. HM Smith,C. Marcelo Malpighi,D. Dr Nehemiah,A
which human made object to venture into interstellar space?,A. Apollo 1,B. Sputnik,C. Apollo II,D. Voyager 1,D
The Chandrayaan-3 mission by the Indian Space Research Organisation (ISRO) was successfully lifted off from which Space Centre?,A. Paresh Dhawan Space Centre,B. Satish Dhawan Space Centre,C. Ram Dhawan Space Centre,D. Shiri Dhawan Space Centre,B
Which planets are called ice giants?,A. Outer planets (Uranus and Neptune),B. Outer planets (Jupiter and Neptune),C. Outer planets (Jupiter and Saturn),D. Inner planets (Mercury and Earth),A
The ice giants are mostly made of ‘volatile’ substances such as?,"A. Water, mercury and methane","B. Water, ammonia and mercury","C. Water, plasma and methane","D. Water, ammonia and methane",D
__________ is the point in solar system at which pressure from the solar wind is equal to the opposing pressure of the interstellar medium.,A. Seliopause,B. Meliopause,C. Heliopause,D. Beliopause,C
The sun is expected to exhaust its hydrogen fuel in about 5 billion years. What will be its effect?,A. The sun will then expand into a red giant and possibly swallow the outer planets,"B. The sun will then expand into a red giant and possibly swallow the inner as well as outer planets, including Earth","C. The sun will then expand into a red giant and possibly swallow the inner planets, including Earth",D. Sun will stay as it is,C
How dark matter is detected?,A. Dark matter is detected through its absorption effects,B. Dark matter is detected through its gravitational effects on visible matter,C. Dark matter is detected through its absorption and gravitational effects,D. Dark matter cannot be detected,B
What makes dark matter invisible to telescope?,A. Dark matter interacts with electromagnetic force for very short duration,B. Dark matter does not interact with electrostatic force,C. Dark matter does not interact with electromagnetic force,D. None of the above,C
NASA’s ________ rover landed on Mars in February 2021.,A. Persistence,B. Desistance,C. Perseverance,D. None of the above,C
NASA’s ________ program aims to land humans on the moon again in 2024.,A. Artemis,B. Arshamedis,C. Arsenimdo,D. Bertonies,A
NASA’s _________ is currently studying the sun up close.,A. Darker Solar Probe,B. Walker Solar Probe,C. Parker Solar Probe,D. Falkner Solar Probe,C
"NASA’s Mars rover, __________ , has been exploring Mars since 2012.",A. Diversity,B. Serenity,C. Curiosity,D. Divinity,C
What is the largest artificial object in space?,A. ISS (International Space Station),B. AI powered robot,C. Parabolic aircraft,D. None of the above,A
The ISS (International Space Station) orbits Earth about once every?,A. 60 minutes at an altitude of about 400 km,B. 60 minutes at an altitude of about 500 km,C. 90 minutes at an altitude of about 400 km,D. 90 minutes at an altitude of about 500 km,C
The solar wind creates a “bubble” around the solar system called?,A. Feliosphere,B. Seliosphere,C. Heliosphere,D. Peliosphere,C
The solar wind can reach speeds of up to?,A. 600 km/s,B. 700 km/s,C. 800 km/s,D. 650 km/s,B
Solar wind is caused by the high temperature and pressure in the sun’s which atmosphere?,A. Photosphere,B. Chromosphere,C. Corona,D. A and B,C
The solar wind is a stream of charged particles mostly?,A. protons and electrons; flows out from the sun,B. electrons; flows out from the sun,C. protons; flows out from the sun,D. protons and electrons; revolves around the sun,A
The Kuiper belt and Oort cloud were first proposed by?,A. Dutch astronomer Kuiper in 1950,B. Dutch astronomer Jan Oort in 1950,C. Dutch astronomer Kuiper Oort in 1950,D. French astronomer Jan Oort and Kuiper in 1950,B
Some objects from the Kuiper belt are classified as “plutoids” and include?,"A. Pluto, Cris, and Yeres","B. Pluto, Bris, and Teres","C. Pluto, Eris, and Ceres","D. Yeres, Teres, Ceres",C
The Oort cloud is estimated to be about __________ AU away from the sun?,"A. 100,000","B. 200,000","C. 300,000","D. 400,000",A
Which of the following is a region of the solar system even farther out than the Kuiper belt?,A. The Gort cloud,B. The Oort cloud,C. The Fort cloud,D. The Nort cloud,B
The Kuiper belt is a region of the solar system beyond?,A. Venus,B. Saturn,C. Neptune,D. Earth,C
Most asteroids orbit the sun in a region called the asteroid belt between?,A. Mars and Jupiter,B. Jupiter and Saturn,C. Mercury and Neptune,D. Venus and Uranus,A
Asteroids are made mostly of?,"A. Rock, metal, ice and dust",B. Rock and metal,C. Metal and gas,"D. Metal, gas and rock",B
Comets are often called what?,A. Dusty snowballs,B. Filthy snowballs,C. Dirty snowballs,D. Impure snowballs,C
"As comets get close to the sun, they start to “melt” and release gas and dust. This gas and dust forms what?",A. “coma” around the comet’s nucleus and a long tail that points away from the sun,B. “coma” that points away from the sun and a long tail around the comet’s nucleus,C. Only “coma” around the comet’s nucleus,D. Only a long tail that points away from the sun,A
Comets are made mostly of ______________?,A. Ice and dust,B. Dust and lights,"C. Ice, dust and lights",D. All of the above,A
"Comets are made mostly of ice and dust. As comets get close to the sun, they start to “melt” and release what?",A. Steam and dust,B. Gas and dust,"C. Steam, gas and dust",D. None of the above,B
The moon’s surface has been explored by how many astronauts?,A. 10,B. 11,C. 12,D. 13,C
"The moon has a large, circular basin called _____________?",A. the Simerian Basin,B. the Inbrium Basin,C. the Imbrium Basin,D. Black Bowl Basin,C
Which one of the following is true?,A. The moon has both atmosphere and magnetic field,B. The moon has no atmosphere or magnetic field,C. The moon has atmosphere but no magnetic field,D. The moon has magnetic field but no atmosphere,B
The moon’s surface temperature varies from about ________ to _________ ?,A. – 173 degrees Celsius at night to 127 degrees Celsius during the day,B. – 172 degrees Celsius at night to 172 degrees Celsius during the day,C. Remains constant during day and night,D. – 170 degrees Celsius at night to 107 degrees Celsius during the day,A
"In an atomic nucleus, neutrons and protons are held together by: ___________?",A. Gravitational forces,B. Exchange forces,C. Coulombic forces,D. Magnetic forces,B
