question,A,B,C,D,correct_answer
"A, B, C together started a business. A invested Rs.6000 for 5 months B invested Rs.3600 for 6 months and C Rs.7500 for 3 months. If they get a total profit of Rs.7410. Find the share of A?",A. Rs.3750,B. Rs.3000,C. Rs.3200,D. Rs.2160,B
"A starts business with a capital of Rs.1200 B and C join with some investments after 3 and 6 months respectively. If the end of a year, the profit is divided in the ratio 2:3:5 respectively. What is B’s investment in the business?",A. Rs.2400,B. Rs.1800,C. Rs.3600,D. Rs.6000,A
"A and B began business with Rs.3000 and Rs.4000 after 8 months, A withdraws Rs.1000 and B advances Rs.1000 more. At the end of the year, their profits amounted to Rs.630 find the share of A.",A. Rs.240,B. Rs.350,C. Rs.340,D. Rs.390,A
"A and B enter into partnership with capital as 7:9. At the end of 8 months, A withdraws. If they receive the profits in the ratio of 8:9 find how long B’s capital was used?",A. 6 months,B. 8 months,C. 10 months,D. 7 months,D
A and B entered into a partnership investing Rs.25000 and Rs.30000 respectively. After 4 months C also joined the business with an investment of Rs.35000. What is the share of C in an annual profit of Rs.47000?,A. Rs.18000,B. Rs.15000,C. Rs.17000,D. Rs.14000,D
"A, B, C and D enter into partnership. A subscribes 1/3 of the capital B 1/4, C 1/5 and D the rest. How much share did A get in a profit of Rs.2460?",A. Rs.480,B. Rs.615,C. Rs.820,D. Rs.740,C
"A, B and C invested Rs.6300, Rs.4200 and Rs.10500 respectively, in a partnership business. Find the share of A in profit of Rs.12100 after a year?",A. Rs.3630,B. Rs.2840,C. Rs.3200,D. Rs.5600,A
The cost price of an article is 64% of the marked price. Calculate the gain percent after allowing a discount of 12%.,A. 37.5 %,B. 38.5 %,C. 42 %,D. 27.5 %,A
"A trader marked the selling price of an article at 10% above the cost price. At the time of selling, he allows certain discount and suffers a loss of 1%. He allowed a discount of :",A. 10 %,B. 10.5 %,C. 11 %,D. 12.5 %,A
A trader mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of other variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is:,"A. No profit, no loss",B. 5%,C. 8%,D. 10%,B
"When a plot is sold for Rs. 18,700, the owner loses 15%. At what price must that plot be sold in order to gain 15%?","A. Rs. 21,000","B. Rs. 22,500","C. Rs. 25,300","D. Rs. 25,800",C
"On selling 17 balls at Rs. 720, there is a loss equal to the cost price of 5 balls. The cost price of a ball is:________?",A. Rs. 45,B. Rs. 50,C. Rs. 55,D. Rs. 60,D
A dealer marks his goods 20% above cost price. He then allows some discount on it and makes a profit of 8%. The rate of discount is:,A. 12%,B. 10%,C. 6%,D. 4%,B
A cloth merchant has announced 25% rebate in prices. If one needs to have a rebate of Rs. 40. Then how many shirts each costing Rs.32 he should purchase?,A. 6,B. 5,C. 10,D. 7,B
The difference between a discount of 40% on Rs. 500 and two successive discount of 36% and 4% on the same amount is:________?,A. 0,B. Rs. 2,C. Rs. 1.93,D. Rs. 7.20,D
Tarun bought a T.V with 20% discount on the labelled price. Had he bought it with 25% discount? He would have saved Rs. 500. At what price did he buy the T.V?,A. Rs. 5000,B. Rs. 10000,C. Rs. 12000,D. Rs. 16000,B
A man purchases an electric heater whose printed price is 160 if he received two successive discounts of 20% and 10% he paid:,A. Rs. 112,B. Rs. 129.60,C. Rs. 119.60,D. Rs. 115.20,D
"The marked price is 10% higher than the cost price. A discount of 10% is given on the marked price, in this kind of sale the seller",A. Bears no loss no gain,B. gains,C. loses 1%,D. None of these,C
A trader lists his articles 20% above C.P and allows a discount of 10% on cash payment. His gain percent is:,A. 10%,B. 8%,C. 5%,D. 6%,B
"While selling the watch, a shopkeeper gives a discount of 5% if he gives a discount of 7 % he earns Rs. 15 less as profit. The marked price of the watch is:",A. Rs. 697.50,B. Rs. 712.50,C. Rs. 787.50,D. None of these,D
A Shopkeeper earns a profit of 12% on selling a book at 10% discount on the printed. The ratio of the cost price and the printed price of the book is:,A. 45:56,B. 50:61,C. 99:125,D. None of these,A
"A retailer buys a sewing machine at a discount of 15% and sells it for Rs. 1955. Thus, he makes a profit of 15%. The discount is:",A. Rs. 270,B. Rs. 290,C. Rs. 300,D. None of these,C
An umbrella marked at Rs. 80 is sold for Rs. 68. The rate of discount is:,A. 15%,B. 12%,C. 17 11/17%,D. 20 %,A
Kabir buys an article with 25% discount on its marked price. He makes a profit of 10 % by selling it at Rs. 660. The marked price is :,A. Rs. 600,B. Rs. 700,C. Rs. 800,D. Rs. 685,C
The ratio of the prices of three different types of cars is 4:5:7. If the difference between the costliest and the cheapest cars is Rs. 60000 the price of the car of modest price is:,A. Rs. 80000,B. Rs. 100000,C. Rs. 140000,D. Rs. 120000,B
"A discount series of 10%, 20% and 40% is equal to a single discount of:_________?",A. 50%,B. 56.8%,C. 60%,D. 70.28%,B
At what price must kashif sell a mixture of 80 kg sugar at Rs. 6.75 per kg with 120 kg at Rs. 8 per kg to gain 20%?,A. Rs. 7.50 per kg,B. Rs. 8.20 per kg,C. Rs. 8.85 per kg,D. Rs. 9 per kg,D
A person bought an article and sold it at a loss of 10 % if he had bought it for 20 % less and sold it for Rs. 55 more he would have had a profit of 40 %. The C.P of the article is:,A. Rs. 200,B. Rs. 225,C. Rs. 250,D. None of these,C
The cost price of an article which on being sold at a gain of 12 % yields Rs. 6 more than when it is sold at a loss of 12 % is:,A. Rs. 30,B. Rs. 25,C. Rs. 24,D. Rs. 20,B
A man sells a car to his friend at 10 % loss. If the friend sells it for Rs. 54000 and gains 20 %. The original C.P of the car was:_________?,A. Rs. 25000,B. Rs. 37500,C. Rs. 50000,D. Rs. 60000,C
If two mixers and one T.V cost Rs. 7000. While two T.V s and one mixer cost Rs. 9800. The value of one T.V is:_________?,A. Rs. 2800,B. Rs. 2100,C. Rs. 4200,D. Rs. 8400,C
Profit after selling a commodity for Rs. 425 is same as loss after selling it for Rs.355. The cost of the commodity is:________?,A. Rs. 385,B. Rs. 390,C. Rs. 395,D. Rs. 400,B
A merchant sold his goods for Rs. 75 at a profit percent equal to C.P. The C.P was:________?,A. Rs. 40,B. Rs. 50,C. Rs. 60,D. Rs. 70,B
A horse and a cow were sold for Rs. 12000 each. The horse was sold at a loss of 20 % and the cow at a gain of 20 %. The entire transaction resulted in___________?,A. No loss or gain,B. Loss of Rs. 1000,C. Gain of Rs. 1000,D. Gain of Rs. 2000,B
"A man sold two houses for Rs. 7.8 lakhs each. On the one, he gained 5% and on the other, he lost 5%. What percent is the effect of the sale on the whole?",A. 0.25 % loss,B. 0.25 % gain,C. 25% loss,D. 25% gain,A
When the Price of fans was reduced by 20 %. The number of fans sold increased by 40 %. What was the effect on the sales of rupees?,A. 12 % Increase,B. 12 % decrease,C. 30 % increase,D. 40 % increase,A
When the price of a toy was increased by 20 % of the number of toys sold was decreased by 15 %. What was the effect on the sales of the shop?,A. 4 % increase,B. 4 % decrease,C. 2 % increase,D. 2 % decrease,C
A owns a house worth Rs. 10000. He sells it to B at a profit of 10% based on the worth of the house. B sells the house back to A at a loss of 10% in this transaction A gets:,A. No profit No loss,B. Profit of Rs. 1000,C. Profit of Rs. 1100,D. Profit of Rs. 2000,C
Ramees bought 4 dozen apples at Rs. 12 per dozen and 2 dozen apples at Rs. 16 per dozen. He sold all of them to earn 20%. At what price per dozen did he sell the apples?,A. Rs. 14.40,B. Rs. 16.00,C. Rs. 16.80,D. Rs. 19.20,B
Jameel bought paper sheets for Rs. 7200 and spent Rs. 200 on transport. Paying Rs 600 he had 330 boxes made. Which he said at Rs. 28 each. What is his profit Percentage?,A. 15.5,B. 40,C. 60,D. None of these,A
"By selling Toffees at 20 for a rupee, a man loses 40 %. To gain 20 %, for one rupee he must sell?",A. 16 toffees,B. 20 toffees,C. 25 toffees,D. 24 toffees,A
"By selling 12 oranges for one rupee, a man loses 20%. How many for a rupee should he sell to get a gain of 20%?",A. 5,B. 8,C. 10,D. 15,B
A dealer professing to sell at cost price uses a 900 gms weight for a kilogram. His gain percent is:________?,A. 9,B. 10,C. 11,D. 11 1/9,D
A man sold 20 articles for Rs. 60 and gained 20%. How many articles did he buy for Rs.60?,A. 22,B. 24,C. 25,D. 26,B
The C.P of an article is 40% of the S.P. The percent that the S.P is of C.P is:________?,A. 40,B. 60,C. 240,D. 250,D
A man purchased a watch for Rs. 400 and sold it at a gain of 20% of the selling price. The selling price of the watch is:__________?,A. Rs. 300,B. Rs. 320,C. Rs. 440,D. Rs. 500,D
"If I purchased 11 books for Rs. 10 and sold all at the rate of 10 books for Rs. 11, the profit percent",A. 10%,B. 11%,C. 21%,D. 100%,C
If books bought at prices ranging from Rs. 200 to Rs. 350 are sold at prices ranging from Rs. 300 to Rs. 425. What is the greatest possible profit that might be made in selling 8 books?,A. Rs. 400,B. Rs. 600,C. Cannot be determined,D. None of these,D
A man sells 320 mangoes at the cost of 400 mangoes. His gain percent is:_________?,A. 10%,B. 15%,C. 20%,D. 25%,D
There would be 10% loss if rice is sold at Rs. 5.40 per kg. At what price per kg should it be sold to earn a profit of 20%,A. Rs. 6,B. Rs. 6.48,C. Rs. 7.02,D. Rs. 7.20,D
There would be 10% loss if a toy is said at Rs. 10.80 per piece. At what price should it be sold to earn a profit of 20%?,A. Rs. 12,B. Rs. 12.96,C. Rs. 14.40,D. None of these,C
A man buys 10 articles for Rs. 8 and Sells them at the rate of Rs. 1.25 per article. His gain is:________?,A. 20%,B. 50%,C. 19 ½ %,D. 56 ¼ %,D
The cost price of an article is 64% of the marked price. Calculate the gain percent after allowing a discount of 12%?,A. 37.5%,B. 48%,C. 50.5%,D. 52%,A
"By selling an umbrella for Rs. 300, a shop keeper gains 20%. During a clearance sale, the shopkeeper allows a discount of 10% on the marked price. His gain percent during the sale is:________?",A. 7,B. 7.5,C. 8,D. 9,C
"The price of a VCR is marked at Rs. 12,000. If successive discounts of 15%, 10% and 5% be allowed, then at what price does a customer buy it?",A. Rs. 8400,B. Rs. 8721,C. Rs. 8856,D. None of these,B
"Aleem buys 4 horses and 9 cows for Rs. 13,400. If he sells the horses at 10% profit and the cows at 20% profit, then he earns a total profit of Rs. 1880. The cost of a horse is:_________?",A. Rs. 1000,B. Rs. 2000,C. Rs. 2500,D. Rs. 3000,B
"By selling 12 toffees for a rupee, a man loses 20%. How many for a rupee should be sell to get a gain of 20%?",A. 5,B. 8,C. 10,D. 15,B
A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%?,A. 3,B. 4,C. 5,D. 6,C
"On an order of 5 dozen boxes of a consumer product, a retailer receives an extra dozen free. This is equivalent to allowing him a discount of:________?",A. 15%,B. 16 1/6%,C. 16 2/3%,D. 20%,C
"If the selling price of 50 articles is equal to the cost price of 40 articles, then the loss or gain percent is:",A. 20% loss,B. 20% gain,C. 25% loss,D. 25% gain,A
"If the cost price of 12 pens is equal to the selling price of 8 pens, the gain percent is:",A. 25%,B. 33 1/3 %,C. 50%,D. 66 2/3 %,C
The percentage profit earned by selling an article for Rs. 1920 is equal to the percentage loss incurred by selling the same article for Rs. 1280. At what price should the article be sold to make 25% profit?,A. Rs. 2000,B. Rs. 2200,C. Rs. 2400,D. None of these,A
The profit earned by selling an article for Rs. 832 is equal to the loss incurred when the same article is sold for Rs. 448. What should be the sale price for making 50% profit?,A. Rs. 920,B. Rs. 960,C. Rs. 1060,D. Rs. 1200,B
"In a certain store, the profit is 320% of the cost. If the cost increases by 25% but the selling price remains constant, approximately what percentage of the selling price is the profit?",A. 30%,B. 70%,C. 100%,D. 250%,B
"If selling price is doubled, the profit triples. Find the profit percent:",A. 66 2/3,B. 100,C. 105 1/3,D. 120,B
"A man gains 20% by selling an article for a certain price. If the sells it at double the price, the percentage of profit will be:________?",A. 40,B. 100,C. 120,D. 140,D
The ratio of the cost price and the selling price is 4:5. The profit percent is:__________?,A. 10%,B. 20%,C. 25%,D. 30%,C
Jameel brought a scooter for a certain sum of money. He spent 10% of the cost on repairs and sold the scooter for a profit of Rs. 1100. How much did he spend on repairs if he made a profit of 20%?,A. Rs. 400,B. Rs. 440,C. Rs. 500,D. Rs. 550,C
"The sale price of an article including the sales tax is Rs. 616. The rate of sales tax is 10%. If the shopkeeper has made a profit of 12%, then the cost price of the article is:",A. Rs. 500,B. Rs. 515,C. Rs. 550,D. Rs. 600,A
Samad purchased 20 dozens of toys at the rate of Rs. 375 per dozen. He sold each one of them at the rate of Rs. 33. What was his percentage profit?,A. 3.5,B. 4.5,C. 5.6,D. 6.5,C
A shopkeeper purchased 70 kg of potatoes for Rs. 420 and sold the whole lot at the rate of Rs. 6.50 per kg. What will be his gain percent?,A. 4 1/6 %,B. 6 1/6 %,C. 8 1/3 %,D. 20 %,C
A dishonest dealer professes to sell his goods at Cost Price but still gets 20% profit by using a false weight. What weight does he substitute for a kilogram?,A. 855 1/2 grams,B. 833 1/3 grams,C. 833 1/2 grams,D. 875 2/7 grams,B
A shopkeeper buys mangoes at the rate of 4 a rupee and sells them at 3 a rupee. Find his net profit or loss percent?,A. 20%,B. 28%,C. 33 1/3 %,D. 35 2/7 %,C
"A shopkeeper sells two articles at Rs.1000 each, making a profit of 20% on the first article and a loss of 20% on the second article. Find the net profit or loss that he makes?",A. neither profit nor loss,B. 3%,C. 5%,D. 4%,D
"A shopkeeper buys two articles for Rs.1000 each and then sells them, making 20% profit on the first article and 20% loss on second article. Find the net profit or loss percent?",A. neither profit nor loss,B. 1%,C. 2%,D. 3%,A
"By selling an article at Rs.800, a shopkeeper makes a profit of 25%. At what price should he sell the article so as to make a loss of 25%?",A. Rs.600,B. Rs.480,C. Rs.500,D. Rs.450,B
"By selling an article at Rs.600, a profit of 25% is made. Find its cost price?",A. Rs.350,B. Rs.400,C. Rs.573,D. Rs.480,D
A person buys an article at Rs.500. At what price should he sell the article so as to make a profit of 20%?,A. Rs.600,B. Rs.500,C. Rs.250,D. Rs.700,A
